,Unnamed: 0,height_feet,position,team_name,full_name,season,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
0,2,7.0,C,Oklahoma City Thunder,Steven Adams,2019-20,55.0,27.0,11.0,4.6,7.8,58.9,0.0,0.1,33.3,1.9,3.1,60.0,3.5,6.0,9.4,2.5,1.5,0.8,1.1,2.0,30.3,20.0,0.0,2.3
1,3,6.0,C-F,Miami Heat,Bam Adebayo,2019-20,61.0,34.4,16.2,6.2,11.0,56.5,0.0,0.2,7.7,3.7,5.3,69.0,2.5,8.0,10.5,5.1,2.8,1.2,1.3,2.5,41.2,37.0,3.0,3.5
2,4,6.0,F,San Antonio Spurs,LaMarcus Aldridge,2019-20,52.0,33.0,18.8,7.3,14.8,49.5,1.2,2.9,39.2,3.0,3.6,82.9,2.0,5.5,7.5,2.4,1.4,0.6,1.6,2.4,36.7,14.0,0.0,-2.6
3,6,6.0,G,Memphis Grizzlies,Grayson Allen,2019-20,30.0,16.6,7.4,2.6,5.9,44.9,1.1,3.0,36.3,1.0,1.2,85.7,0.2,2.0,2.2,1.4,0.8,0.2,0.0,1.2,12.1,0.0,0.0,-2.4
4,7,6.0,C,Brooklyn Nets,Jarrett Allen,2019-20,60.0,26.0,10.8,4.2,6.6,64.5,0.0,0.1,0.0,2.4,3.8,62.7,3.1,6.5,9.6,1.4,1.1,0.6,1.4,2.3,29.2,26.0,0.0,0.8
5,8,6.0,F,Orlando Magic,Al-Farouq Aminu,2019-20,18.0,21.1,4.3,1.4,4.8,29.1,0.5,2.0,25.0,1.1,1.6,65.5,1.3,3.5,4.8,1.2,0.9,1.0,0.4,1.5,15.3,1.0,0.0,-1.9
6,9,6.0,G-F,Brooklyn Nets,Justin Anderson,2019-20,3.0,5.6,1.0,0.3,2.0,16.7,0.0,1.0,0.0,0.3,0.7,50.0,0.0,0.7,0.7,0.0,0.0,0.0,0.3,0.7,2.8,0.0,0.0,-2.7
7,10,6.0,F,Memphis Grizzlies,Kyle Anderson,2019-20,55.0,18.9,5.5,2.3,4.7,48.8,0.2,0.9,21.2,0.7,1.1,65.0,0.9,3.4,4.3,2.2,0.9,0.8,0.5,1.5,17.0,0.0,0.0,-1.9
8,11,6.0,F,Houston Rockets,Ryan Anderson,2019-20,2.0,7.0,2.5,1.0,3.5,28.6,0.5,2.5,20.0,0.0,0.0,0.0,0.0,3.5,3.5,1.0,0.5,0.5,0.0,0.5,9.2,0.0,0.0,3.5
9,12,6.0,F,Milwaukee Bucks,Giannis Antetokounmpo,2019-20,55.0,30.9,29.6,11.0,19.9,55.1,1.5,4.7,31.1,6.2,10.0,62.5,2.3,11.5,13.8,5.8,3.7,1.0,1.1,3.0,57.4,50.0,4.0,11.5
