,season,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,full_name
0,2019-20,55.0,27.0,11.0,4.6,7.8,58.9,0.0,0.1,33.3,1.9,3.1,60.0,3.5,6.0,9.4,2.5,1.5,0.8,1.1,2.0,30.3,20.0,0.0,2.3,Steven Adams
1,2019-20,61.0,34.4,16.2,6.2,11.0,56.5,0.0,0.2,7.7,3.7,5.3,69.0,2.5,8.0,10.5,5.1,2.8,1.2,1.3,2.5,41.2,37.0,3.0,3.5,Bam Adebayo
2,2019-20,52.0,33.0,18.8,7.3,14.8,49.5,1.2,2.9,39.2,3.0,3.6,82.9,2.0,5.5,7.5,2.4,1.4,0.6,1.6,2.4,36.7,14.0,0.0,-2.6,LaMarcus Aldridge
3,2019-20,2.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,2.0,0.0,0.5,0.0,0.5,1.5,3.4,0.0,0.0,-5.0,Kyle Alexander
4,2019-20,41.0,12.2,5.1,1.9,5.5,33.9,1.0,2.9,34.2,0.4,0.7,60.7,0.2,1.8,2.0,1.8,1.0,0.3,0.2,1.1,10.5,0.0,0.0,-1.5,Nickeil Alexander-Walker
5,2019-20,30.0,16.6,7.4,2.6,5.9,44.9,1.1,3.0,36.3,1.0,1.2,85.7,0.2,2.0,2.2,1.4,0.8,0.2,0.0,1.2,12.1,0.0,0.0,-2.4,Grayson Allen
6,2019-20,60.0,26.0,10.8,4.2,6.6,64.5,0.0,0.1,0.0,2.4,3.8,62.7,3.1,6.5,9.6,1.4,1.1,0.6,1.4,2.3,29.2,26.0,0.0,0.8,Jarrett Allen
7,2019-20,10.0,11.7,5.0,1.9,4.4,43.2,0.5,1.6,31.3,0.7,1.1,63.6,0.2,0.7,0.9,2.1,0.8,0.5,0.2,0.7,10.5,0.0,0.0,-2.1,Kadeem Allen
8,2019-20,18.0,21.1,4.3,1.4,4.8,29.1,0.5,2.0,25.0,1.1,1.6,65.5,1.3,3.5,4.8,1.2,0.9,1.0,0.4,1.5,15.3,1.0,0.0,-1.9,Al-Farouq Aminu
9,2019-20,3.0,5.6,1.0,0.3,2.0,16.7,0.0,1.0,0.0,0.3,0.7,50.0,0.0,0.7,0.7,0.0,0.0,0.0,0.3,0.7,2.8,0.0,0.0,-2.7,Justin Anderson
10,2019-20,55.0,18.9,5.5,2.3,4.7,48.8,0.2,0.9,21.2,0.7,1.1,65.0,0.9,3.4,4.3,2.2,0.9,0.8,0.5,1.5,17.0,0.0,0.0,-1.9,Kyle Anderson
11,2019-20,2.0,7.0,2.5,1.0,3.5,28.6,0.5,2.5,20.0,0.0,0.0,0.0,0.0,3.5,3.5,1.0,0.5,0.5,0.0,0.5,9.2,0.0,0.0,3.5,Ryan Anderson
12,2019-20,55.0,30.9,29.6,11.0,19.9,55.1,1.5,4.7,31.1,6.2,10.0,62.5,2.3,11.5,13.8,5.8,3.7,1.0,1.1,3.0,57.4,50.0,4.0,11.5,Giannis Antetokounmpo
13,2019-20,3.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.9,0.0,0.0,-0.7,Kostas Antetokounmpo
14,2019-20,16.0,4.4,2.3,1.0,1.8,55.2,0.0,0.3,0.0,0.3,0.6,44.4,0.4,0.3,0.8,0.4,0.4,0.3,0.1,0.6,4.3,0.0,0.0,-0.2,Thanasis Antetokounmpo
15,2019-20,46.0,32.7,15.3,5.8,13.8,42.2,1.4,3.9,35.9,2.2,2.7,84.4,1.3,5.2,6.5,1.5,1.8,0.8,0.5,2.9,27.2,4.0,0.0,-0.4,Carmelo Anthony
16,2019-20,60.0,29.8,10.7,4.3,8.5,50.3,1.3,3.4,37.1,0.9,1.3,70.0,1.2,4.3,5.5,1.6,1.2,1.4,0.7,2.5,24.8,5.0,0.0,3.4,OG Anunoby
17,2019-20,57.0,15.9,4.4,1.5,3.8,40.7,0.9,2.4,38.1,0.5,0.7,71.1,0.4,1.5,1.9,1.6,0.6,0.4,0.1,1.6,10.0,0.0,0.0,-1.4,Ryan Arcidiacono
18,2019-20,49.0,27.7,7.4,2.6,6.0,43.2,1.3,3.8,35.7,0.9,1.1,83.6,0.6,4.0,4.6,1.7,1.0,1.3,0.2,2.1,19.1,0.0,0.0,-0.8,Trevor Ariza
19,2019-20,45.0,24.9,10.1,3.1,8.1,38.5,1.2,3.5,33.3,2.7,3.0,88.2,0.4,1.9,2.2,4.6,1.4,0.6,0.0,1.1,20.3,0.0,0.0,1.5,D.J. Augustin
20,2019-20,30.0,33.2,19.0,8.5,15.5,54.8,0.0,0.1,0.0,2.0,2.6,76.9,4.1,7.9,12.0,1.9,2.4,0.7,1.7,3.2,41.2,20.0,0.0,1.2,Deandre Ayton
21,2019-20,39.0,17.6,5.7,2.2,6.3,34.8,0.5,1.7,28.4,0.9,1.4,66.0,0.4,2.2,2.6,1.3,0.9,0.6,0.1,1.3,11.8,0.0,0.0,-3.4,Dwayne Bacon
22,2019-20,13.0,25.7,14.2,6.0,12.8,46.7,0.3,1.7,18.2,1.9,2.4,80.6,2.2,5.2,7.5,0.8,1.4,0.5,0.9,3.3,27.1,3.0,0.0,-6.8,Marvin BagleyIII
23,2019-20,53.0,32.2,12.0,4.5,11.0,40.6,2.4,6.4,37.1,0.7,1.2,57.8,1.1,5.0,6.1,7.0,3.0,1.4,0.5,1.9,32.6,11.0,3.0,0.1,Lonzo Ball
24,2019-20,56.0,14.8,5.7,2.3,4.8,47.7,0.6,1.7,36.1,0.5,0.8,69.8,1.6,3.4,5.1,0.7,0.8,0.4,1.5,2.0,17.6,2.0,0.0,0.7,Mo Bamba
25,2019-20,23.0,15.4,8.2,3.1,7.3,42.6,1.2,3.0,40.6,0.7,0.8,94.4,0.4,1.5,2.0,4.0,1.5,0.2,0.1,0.9,15.8,0.0,0.0,1.7,J.J. Barea
26,2019-20,61.0,34.8,14.7,5.1,11.1,45.9,1.4,3.8,37.0,3.1,3.9,80.5,0.9,3.9,4.8,2.3,1.3,0.6,0.1,1.3,24.9,3.0,0.0,-0.9,Harrison Barnes
27,2019-20,51.0,30.4,14.1,5.2,12.9,40.0,1.1,3.5,32.0,2.6,4.5,59.2,0.9,4.1,5.0,2.5,2.2,0.9,0.3,2.2,25.4,2.0,0.0,-5.9,RJ Barrett
